Timeperiod,Direction,WeekDay,Hour,Count
Lockdown,From City,Sunday,17,16.09090909090909
Lockdown,From City,Sunday,18,4
Lockdown,From City,Sunday,19,0.9090909090909091
Lockdown,From City,Sunday,20,1
Lockdown,From City,Sunday,21,0.09090909090909091
Lockdown,From City,Sunday,22,0.45454545454545453
Lockdown,From City,Sunday,23,0
Lockdown,From City,Monday,0,0
Lockdown,From City,Monday,1,0
Lockdown,From City,Monday,2,0
Lockdown,From City,Monday,3,0
Lockdown,From City,Monday,4,0.36363636363636365
Lockdown,From City,Monday,5,0.5454545454545454
Lockdown,From City,Monday,6,3.909090909090909
Lockdown,From City,Monday,7,16.454545454545453
Lockdown,From City,Monday,8,16.454545454545453
Lockdown,From City,Monday,9,15.272727272727273
Lockdown,From City,Monday,10,17.454545454545453
Lockdown,From City,Monday,11,20.454545454545453
Lockdown,From City,Monday,12,16.09090909090909
Lockdown,From City,Monday,13,20
Lockdown,From City,Monday,14,25.545454545454547
Lockdown,From City,Monday,15,27.636363636363637
Lockdown,From City,Monday,16,30.181818181818183
Lockdown,From City,Monday,17,18.09090909090909
Lockdown,From City,Monday,18,4.090909090909091
Lockdown,From City,Monday,19,1.9090909090909092
Lockdown,From City,Monday,20,1
Lockdown,From City,Monday,21,0
Lockdown,From City,Monday,22,0.09090909090909091
Lockdown,From City,Monday,23,0
Lockdown,From City,Tuesday,0,0
Lockdown,From City,Tuesday,1,0
Lockdown,From City,Tuesday,2,0.3
Lockdown,From City,Tuesday,3,0
Lockdown,From City,Tuesday,4,0.3
Lockdown,From City,Tuesday,5,0.8
Lockdown,From City,Tuesday,6,6
Lockdown,From City,Tuesday,7,20.3
Lockdown,From City,Tuesday,8,17.6
Lockdown,From City,Tuesday,9,15.7
Lockdown,From City,Tuesday,10,16.3
Lockdown,From City,Tuesday,11,20.5
Lockdown,From City,Tuesday,12,19.2
Lockdown,From City,Tuesday,13,20.1
Lockdown,From City,Tuesday,14,26.8
Lockdown,From City,Tuesday,15,31.2
Lockdown,From City,Tuesday,16,39.3
Lockdown,From City,Tuesday,17,23.3
Lockdown,From City,Tuesday,18,7.4
Lockdown,From City,Tuesday,19,1.8
Lockdown,From City,Tuesday,20,0.7
Lockdown,From City,Tuesday,21,0.3
Lockdown,From City,Tuesday,22,0.1
Lockdown,From City,Tuesday,23,0.1
Lockdown,From City,Wednesday,0,0
Lockdown,From City,Wednesday,1,0.1
Lockdown,From City,Wednesday,2,0.1
Lockdown,From City,Wednesday,3,0
Lockdown,From City,Wednesday,4,0.4
Lockdown,From City,Wednesday,5,0.8
Lockdown,From City,Wednesday,6,4.8
