SA22018_V1_00,SA22018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
309600,Charleston (Buller District),1016.791792,1016.791792
309700,Inangahua,3195.707586,3195.707586
309800,Reefton,2.6264293,2.6264293
309900,Barrytown,731.220548,731.220548
310000,Runanga,4.50515421,4.50515421
310100,Cobden,3.67564649,4.048262
310200,Blaketown,0.74298173,0.74298173
310300,Greymouth Central,2.72874197,2.72874197
310400,King Park,0.84279916,0.84279916
310500,Marsden,1.23848941,1.23848941
310600,Karoro,6.5022919,6.5022919
310700,Rutherglen-Camerons,11.71648084,11.71648084
310800,Greymouth Rural,340.0017428,340.0017428
310900,Dobson,169.8947968,169.8947968
311000,Nelson Creek,899.974351,899.974351
311100,Lake Brunner,1301.260388,1342.032476
311200,Haast,4099.069747,4105.504212
311300,Westland Glaciers-Bruce Bay,3057.417929,3071.070552
311400,Arahura-Kumara,262.2688004,262.2688004
311500,Hokitika,3.90935844,3.90935844
311700,Hokitika Rural,154.377462,154.377462
311800,Waitaha,1499.955163,1499.955163
311900,Whataroa-Harihari,1136.276933,1136.276933
312000,Hokitika Valley-Otira,1614.538986,1629.346566
312100,Hanmer Range,3608.958915,3622.496646
312200,Amuri,1835.565978,1835.565978
312300,Hanmer Springs,4.23035211,4.23035211
312400,Upper Hurunui,1004.959577,1004.959577
312500,Parnassus,994.5624725,994.5624725
312600,Ashley Forest,340.5738764,340.5738764
312700,Omihi,717.8664604,717.8664604
312800,Balcairn,130.5751296,130.5751296
312900,Amberley,3.62839288,3.62839288
313000,Okuku,834.6837757,834.6837757
313100,Ashley Gorge,336.7059189,336.7059189
313200,Oxford,11.82865948,11.82865948
313300,Starvation Hill-Cust,181.6484238,181.6484238
313400,Loburn,89.42703772,89.42703772
313500,Eyrewell,272.1091064,272.1091064
313600,West Eyreton,114.8871642,114.8871642
313700,Ashley-Sefton,86.90622515,86.90622515
313800,Fernside,41.47828011,41.47828011
313900,Rangiora North West,1.99495269,1.99495269
