DHB,Date,Age,Eligible,Immunised
Bay of Plenty,2017-12-31,24 months,763,660
Bay of Plenty,2017-12-31,5 years,851,708
Bay of Plenty,2017-12-31,6 months,840,552
Bay of Plenty,2017-12-31,8 months,752,645
Bay of Plenty,2018-03-31,12 months,730,653
Bay of Plenty,2018-03-31,18 months,740,504
Bay of Plenty,2018-03-31,24 months,748,641
Bay of Plenty,2018-03-31,5 years,828,663
Bay of Plenty,2018-03-31,6 months,791,536
Bay of Plenty,2018-03-31,8 months,834,738
Bay of Plenty,2018-06-30,12 months,846,757
Bay of Plenty,2018-06-30,18 months,812,560
Bay of Plenty,2018-06-30,24 months,795,678
Bay of Plenty,2018-06-30,5 years,814,638
Bay of Plenty,2018-06-30,6 months,784,502
Bay of Plenty,2018-06-30,8 months,833,704
Bay of Plenty,2018-09-30,12 months,791,699
Bay of Plenty,2018-09-30,18 months,772,517
Bay of Plenty,2018-09-30,24 months,747,622
Bay of Plenty,2018-09-30,5 years,881,712
Bay of Plenty,2018-09-30,6 months,741,472
Bay of Plenty,2018-09-30,8 months,751,623
Bay of Plenty,2018-12-31,12 months,795,688
Bay of Plenty,2018-12-31,18 months,868,590
Bay of Plenty,2018-12-31,24 months,803,672
Bay of Plenty,2018-12-31,5 years,814,638
Bay of Plenty,2018-12-31,6 months,737,452
Bay of Plenty,2018-12-31,8 months,747,614
Bay of Plenty,2019-03-31,12 months,755,652
Bay of Plenty,2019-03-31,18 months,823,568
Bay of Plenty,2019-03-31,24 months,776,645
Bay of Plenty,2019-03-31,5 years,774,606
Bay of Plenty,2019-03-31,6 months,771,498
Bay of Plenty,2019-03-31,8 months,754,605
Bay of Plenty,2019-06-30,12 months,748,641
Bay of Plenty,2019-06-30,18 months,801,632
Bay of Plenty,2019-06-30,24 months,875,751
Bay of Plenty,2019-06-30,5 years,803,660
Bay of Plenty,2019-06-30,6 months,806,543
Bay of Plenty,2019-06-30,8 months,782,628
Bay of Plenty,2019-09-30,12 months,773,662
Bay of Plenty,2019-09-30,18 months,783,609
Bay of Plenty,2019-09-30,24 months,824,705
Bay of Plenty,2019-09-30,5 years,862,716
Bay of Plenty,2019-09-30,6 months,728,469
Bay of Plenty,2019-09-30,8 months,743,628
Bay of Plenty,2019-12-31,12 months,805,705
Bay of Plenty,2019-12-31,18 months,769,602
Bay of Plenty,2019-12-31,24 months,816,703
Bay of Plenty,2019-12-31,5 years,893,747
Bay of Plenty,2019-12-31,6 months,768,571
Bay of Plenty,2019-12-31,8 months,761,647
Bay of Plenty,2020-03-31,12 months,741,648
Bay of Plenty,2020-03-31,18 months,778,616
Bay of Plenty,2020-03-31,24 months,801,703
Bay of Plenty,2020-03-31,5 years,823,711
Bay of Plenty,2020-03-31,6 months,808,583
Bay of Plenty,2020-03-31,8 months,776,673
Bay of Plenty,2020-06-30,12 months,779,691
Bay of Plenty,2020-06-30,18 months,796,595
Bay of Plenty,2020-06-30,24 months,774,659
Bay of Plenty,2020-06-30,5 years,814,718
Bay of Plenty,2020-06-30,6 months,823,561
Bay of Plenty,2020-06-30,8 months,837,738
Bay of Plenty,2020-09-30,12 months,812,715
Bay of Plenty,2020-09-30,18 months,746,560
Bay of Plenty,2020-09-30,24 months,793,678
Bay of Plenty,2020-09-30,5 years,829,709
Bay of Plenty,2020-09-30,6 months,746,469
Bay of Plenty,2020-09-30,8 months,759,641
Bay of Plenty,2020-12-31,12 months,832,737
Bay of Plenty,2020-12-31,18 months,797,516
Bay of Plenty,2020-12-31,24 months,798,661
Bay of Plenty,2020-12-31,5 years,850,713
Bay of Plenty,2020-12-31,6 months,784,533
Bay of Plenty,2020-12-31,8 months,780,649
Bay of Plenty,2021-03-31,12 months,752,670
Bay of Plenty,2021-03-31,18 months,797,494
Bay of Plenty,2021-03-31,24 months,762,637
Bay of Plenty,2021-03-31,5 years,840,681
Bay of Plenty,2021-03-31,6 months,833,515
Bay of Plenty,2021-03-31,8 months,792,632
Canterbury,2009-07-01,12 months,1673,1478
Canterbury,2009-07-01,18 months,1785,1374
Canterbury,2009-07-01,24 months,1747,1479
Canterbury,2009-07-01,6 months,1754,1303
Canterbury,2010-01-01,12 months,1764,1617
Canterbury,2010-01-01,18 months,1697,1392
Canterbury,2010-01-01,24 months,1800,1570
Canterbury,2010-01-01,6 months,1632,1241
Canterbury,2010-04-01,12 months,1693,1513
Canterbury,2010-04-01,18 months,1765,1439
Canterbury,2010-04-01,24 months,1705,1510
Canterbury,2010-04-01,6 months,1707,1252
Canterbury,2010-07-01,12 months,1619,1455
Canterbury,2010-07-01,18 months,1769,1418
Canterbury,2010-07-01,24 months,1691,1531
Canterbury,2010-07-01,6 months,1781,1306
Canterbury,2010-10-01,12 months,1713,1579
Canterbury,2010-10-01,18 months,1719,1385
Canterbury,2010-10-01,24 months,1761,1616
Canterbury,2010-10-01,6 months,1737,1288
Canterbury,2011-01-01,12 months,1779,1639
Canterbury,2011-01-01,18 months,1630,1284
Canterbury,2011-01-01,24 months,1756,1618
Canterbury,2011-01-01,5 years,736,542
Canterbury,2011-01-01,6 months,1688,1249
Canterbury,2011-04-01,12 months,1724,1583
Canterbury,2011-04-01,18 months,1719,1374
Canterbury,2011-04-01,24 months,1711,1551
Canterbury,2011-04-01,5 years,1667,1281
Canterbury,2011-04-01,6 months,1667,1195
Canterbury,2011-07-01,12 months,1672,1527
Canterbury,2011-07-01,18 months,1753,1418
Canterbury,2011-07-01,24 months,1611,1456
Canterbury,2011-07-01,5 years,1556,1178
Canterbury,2011-07-01,6 months,1614,1168
Canterbury,2011-10-01,12 months,1631,1494
Canterbury,2011-10-01,18 months,1636,1341
Canterbury,2011-10-01,24 months,1661,1530
Canterbury,2011-10-01,5 years,1744,1350
Canterbury,2011-10-01,6 months,1596,1183
Canterbury,2011-12-31,12 months,1592,1460
Canterbury,2011-12-31,18 months,1577,1346
Canterbury,2011-12-31,24 months,1720,1581
Canterbury,2011-12-31,5 years,1618,1296
Canterbury,2011-12-31,6 months,1458,1134
Canterbury,2012-03-31,12 months,1581,1459
Canterbury,2012-03-31,18 months,1580,1267
Canterbury,2012-03-31,24 months,1591,1478
Canterbury,2012-03-31,5 years,1680,1321
